id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price_clean,estimated_revenue_l365d,est_monthly_revenue,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,host_id,host_is_superhost,host_years,amenities_count,neighbourhood_listing_count,competition_level,quality_index
3781,HARBORSIDE-Walk to subway,East Boston,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,1.0,125.0,0.0,0.0,0,26,0.21,4.96,4804,t,16.816438356164383,28,229,Low,0.11403863594615654
5506,** Fort Hill Inn Private! Minutes to center!**,Roxbury,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1.0,129.0,6966.0,580.5,54,138,0.69,4.82,8229,t,16.605479452054794,29,295,Medium,-0.15574519700314957
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",Roxbury,42.32802,-71.09387,Entire condo,Entire home/apt,4,2.0,168.0,8064.0,672.0,48,141,0.72,4.81,8229,t,16.605479452054794,29,295,Medium,-0.18022732808476513
8789,Curved Glass Studio/1bd facing Park,Beacon Hill,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,2.0,140.0,0.0,0.0,0,29,0.21,4.69,26988,t,16.186301369863013,33,230,Medium,-0.18214889229097836
10811,Bostons Best Rentals -Studio Prestigious Back Bay,Back Bay,42.35173,-71.08685,Entire rental unit,Entire home/apt,3,1.0,166.0,0.0,0.0,0,9,0.08,4.33,38997,f,16.03287671232877,22,340,High,-1.8661316353552482
10813,The Back Bay Nook  -Brownstone in Prestigious Area,Back Bay,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1.0,202.0,12928.0,1077.3333333333333,64,6,0.08,5.0,38997,f,16.03287671232877,33,340,High,0.5767971712390523
10986,The Olive & Vine in The North End-Walk to MGH Tuft,North End,42.36377,-71.05206,Entire condo,Entire home/apt,2,1.0,202.0,24240.0,2020.0,120,2,0.1,4.5,38997,f,16.03013698630137,34,112,Low,-0.5743433806483558
18711,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,Dorchester,42.32212,-71.06096,Entire rental unit,Entire home/apt,6,3.0,162.0,0.0,0.0,0,51,0.27,4.3,71783,f,15.687671232876712,54,572,High,0.395334041585125
29765,Moroccan Decor Suite,Charlestown,42.37754,-71.06642,Entire rental unit,Entire home/apt,2,1.0,323.0,3876.0,323.0,12,103,0.55,4.97,128280,f,15.35890410958904,33,83,Low,0.5033507779942099
40601,Private room & bath - Jamaica Plain,Jamaica Plain,42.31347,-71.11082,Private room in home,Private room,2,1.0,91.0,7644.0,637.0,84,103,0.56,4.98,174986,t,15.189041095890412,59,240,Medium,2.424948966101313
45987,Garden Studio,Charlestown,42.37424,-71.06081,Entire rental unit,Entire home/apt,3,1.0,176.0,30624.0,2552.0,174,143,0.78,4.67,205107,t,15.10958904109589,62,83,Low,1.884900909151144
47521,Bright Furnished Room with Separate Entrance,Dorchester,42.29871,-71.05954,Entire home,Entire home/apt,2,1.0,59.0,0.0,0.0,0,334,1.82,4.45,119019,f,15.4,15,572,High,-2.0831080777288964
60029,Room in geographical heart of Hub,Roxbury,42.32546,-71.08894,Private room in rental unit,Private room,1,1.0,72.0,0.0,0.0,0,145,0.81,4.73,255183,t,14.975342465753425,26,295,Medium,-0.5949823833175385
60356,Bookcase 1bd facing Boston Common,Beacon Hill,42.35894,-71.0631,Entire rental unit,Entire home/apt,2,1.0,106.0,0.0,0.0,0,19,0.13,4.84,26988,t,16.186301369863013,25,230,Medium,-0.3986449436130747
77681,Waterfall Room: Bunker Hill B&B,Charlestown,42.37865,-71.06373,Private room in rental unit,Private room,2,1.0,140.0,0.0,0.0,0,71,0.42,4.36,416912,f,14.578082191780823,35,83,Low,-0.844127213597662
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,Roxbury,42.32806,-71.09423,Entire condo,Entire home/apt,6,3.0,225.0,45900.0,3825.0,204,317,1.85,4.71,8229,t,16.602739726027398,34,295,Medium,-0.06021862793446358
197727,"Great Boston neighborhood , Jamaica Plain",Jamaica Plain,42.31331,-71.12061,Private room in condo,Private room,1,1.0,62.0,15810.0,1317.5,255,66,0.39,4.97,964356,t,14.123287671232877,55,240,Medium,2.1086028262465453
197972,Serene Studio in a Perfect Location,Jamaica Plain,42.31533,-71.11025,Entire rental unit,Entire home/apt,2,1.0,174.0,44370.0,3697.5,255,570,3.36,4.89,965697,t,14.123287671232877,47,240,Medium,1.32901776004733
210097,Treetop Haven in the City,Jamaica Plain,42.31685,-71.10867,Entire home,Entire home/apt,2,1.0,133.0,17556.0,1463.0,132,330,1.93,4.9,1035747,t,14.07945205479452,44,240,Medium,1.1346018845490817
220676,Private room off the Freedom Trail.,North End,42.36614,-71.05226,Private room in townhouse,Private room,3,1.0,279.0,41850.0,3487.5,150,366,2.15,4.93,1144302,t,14.046575342465754,28,112,Low,0.040592242701314174
