Property Information,,,,Operating Assumptions,,,,,,
Address,"525 South Church Street, Charlotte, NC, 28202",,,,,,,,,
Analyst(s) Names,"Kyle Murphy, Noah Rubin, Mitch Ashberg",,,Rent roll,Number of Units,Monthly Rent per Unit,,,,
Building GBA,314400,,,1-BR,317,"$2,382",,,,
,,,,2-BR,77,"$3,796",,,,
Purchase Information,,,,,,"$12,568,632",,,,
Going-in Cap Rate,5.35%,,,,,,,,,
1st Year Projected NOI,"$10,019,972",,,,,,,,,
Estimated Purchase Price,"$187,289,202",,,,,,,,,
,,,,,,,,,,
Sales Assumptions,,,,,1,2,3,4,5,6
Holding Period (in years),5,,,Rent Growth Rate,2.5%,2.3%,2.1%,1.9%,1.7%,1.5%
Going-out Cap Rate,6.35%,,,Vacancy,9.0%,8.5%,8.0%,7.5%,7.3%,7.0%
Estimated Net Proceeds from Sale,"$163,499,116",Use Year after Sale NOI,,Operating Expenses Growth,5.0%,5.0%,4.0%,4.0%,4.0%,4.0%
Brokerage Fees,6%,,,,,,,,,
,,,,Operating Expenses Assumptions,Expense per square foot,Annual Expenses,,,,
Valuation Assumptions,,,,Mgmt,$0.43,"$135,192",,,,
Discount rate (target IRR),8%,,,Admin,$0.52,"$163,488",,,,
,,,,Payroll,$0.63,"$198,072",,,,
,,,,Water,$0.12,"$37,728",,,,
,,,,Utilities ,$0.49,"$154,056",,,,
,,,,Maint. ,$1.00,"$314,400",,,,
,,,,Insurance,$0.18,"$56,592",,,,
,,,,Taxes,$1.79,"$562,776",,,,
,,,,,,,,,,
,,,,CAPEX,$1.17,"$367,848",,,,
,,,,,,,,,,
Pro-Forma,0,1,2,3,4,5,6,,,
Potential Gross Income,,"$12,882,848","$13,172,712","$13,442,752","$13,691,443","$13,917,352","$14,126,112",,,
Less: Vacancy,,"($1,159,456)","($1,119,681)","($1,075,420)","($1,026,858)","($1,009,008)","($988,828)",,,
Effective Gross Income (EGI):,,"$11,723,391","$12,053,031","$12,367,332","$12,664,585","$12,908,344","$13,137,285",,,
Mgmt,,"($141,952)","($149,049)","($155,011)","($161,212)","($167,660)","($174,366)",,,
Admin,,"($171,662)","($180,246)","($187,455)","($194,954)","($202,752)","($210,862)",,,
Payroll,,"($207,976)","($218,374)","($227,109)","($236,194)","($245,641)","($255,467)",,,
Water,,"($39,614)","($41,595)","($43,259)","($44,989)","($46,789)","($48,660)",,,
Utilities ,,"($161,759)","($169,847)","($176,641)","($183,706)","($191,054)","($198,697)",,,
Maint. ,,"($330,120)","($346,626)","($360,491)","($374,911)","($389,907)","($405,503)",,,
Insurance,,"($59,422)","($62,393)","($64,888)","($67,484)","($70,183)","($72,991)",,,
Taxes,,"($590,915)","($620,461)","($645,279)","($671,090)","($697,934)","($725,851)",,,
,,,,,,,,,,
Total Operating Expenses,,"($1,703,419)","($1,788,590)","($1,860,134)","($1,934,539)","($2,011,921)","($2,092,398)",,,
Net Operating Income (NOI),,"$10,019,972","$10,264,441","$10,507,199","$10,730,046","$10,896,423","$11,044,887",,,
Less: CAPEX,,"($386,240)","($405,552)","($421,775)","($438,645)","($456,191)","($474,439)",,,
Before Tax Unlevered Cash Flow:,,"$9,633,732","$9,858,889","$10,085,424","$10,291,401","$10,440,232","$10,570,448",,,
,,,,,,,,,,
IRR Calculation,,,,,,,,,,
Estimated Purchase Price,"($187,289,202)",,,,,,,,,
Before Tax Unlevered Cash Flow,,"$9,633,732","$9,858,889","$10,085,424","$10,291,401","$10,440,232",,,,
Net Proceeds from Sale,,,,,,"$163,499,116",,,,
Total Cash Flow,"($187,289,202)","$9,633,732","$9,858,889","$10,085,424","$10,291,401","$173,939,348",,,,
IRR,2.97%,,,,,,,,,
,,,,,,,,,,
DCF Valuation,,,,,,,,,,
Before Tax Unlevered Cash Flow,,"$9,633,732","$9,858,889","$10,085,424","$10,291,401","$10,440,232",,,,
Net Proceeds from Sale,,,,,,"$163,499,116",,,,
Total Cash Flow,,"$9,633,732","$9,858,889","$10,085,424","$10,291,401","$173,939,348",,,,
"Calculate Present Value (use NPV function)
(this is the value and maximum you would pay for the property to hit the target return)","$151,323,349",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
